epoch,age_loss,age_mae,gender_accuracy,gender_loss,loss,val_age_loss,val_age_mae,val_gender_accuracy,val_gender_loss,val_loss
0,1132.7576904296875,27.598270416259766,0.573806643486023,0.8769784569740295,284.9435119628906,482.19232177734375,16.29535484313965,0.5245192050933838,0.6908053159713745,121.9375
1,511.196044921875,17.14708709716797,0.6279997825622559,0.7126407027244568,129.22140502929688,388.5769348144531,16.21221160888672,0.5389423370361328,0.6741661429405212,98.5
2,340.6295471191406,14.045666694641113,0.654518723487854,0.6448561549186707,86.44725036621094,379.8846130371094,16.18454360961914,0.5706730484962463,0.6548227071762085,96.28365325927734
3,300.700927734375,13.209269523620605,0.6845560073852539,0.6013951897621155,76.37785339355469,298.10577392578125,13.716498374938965,0.6524038314819336,0.5967172384262085,75.71875
4,273.9926452636719,12.594711303710938,0.7138581275939941,0.5641438961029053,69.6249008178711,323.1346130371094,14.417976379394531,0.6096153855323792,0.6338266134262085,82.05288696289062
5,245.43467712402344,11.854103088378906,0.7358609437942505,0.52628493309021,62.41241455078125,284.0096130371094,13.262577056884766,0.745192289352417,0.5035494565963745,72.00720977783203
6,228.23646545410156,11.382973670959473,0.7608044743537903,0.4953122138977051,58.05016326904297,230.5576934814453,12.176614761352539,0.7653846144676208,0.463623046875,58.56730651855469
7,212.84397888183594,10.963486671447754,0.7686288952827454,0.4796977639198303,54.170501708984375,204.09616088867188,11.096342086791992,0.7629807591438293,0.46632736921310425,51.956729888916016
8,192.89968872070312,10.433639526367188,0.7811794281005859,0.4620108902454376,49.14793395996094,184.88461303710938,10.47482681274414,0.7927884459495544,0.43068283796310425,47.081729888916016
9,182.8316192626953,10.143258094787598,0.7871133685112,0.45169639587402344,46.61027908325195,167.5576934814453,10.051924705505371,0.8125,0.39629656076431274,42.68029022216797
10,170.5288848876953,9.764687538146973,0.7951478362083435,0.4381377398967743,43.508995056152344,163.6923065185547,9.682211875915527,0.8153846263885498,0.3832632303237915,41.689903259277344
11,161.2178192138672,9.541014671325684,0.8032872676849365,0.4254992604255676,41.15556716918945,152.00961303710938,9.16236686706543,0.8259615302085876,0.3694223165512085,38.74279022216797
12,158.7999725341797,9.402131080627441,0.8090636730194092,0.41210734844207764,40.5247917175293,142.02883911132812,8.912020683288574,0.831250011920929,0.35757210850715637,36.222354888916016
13,152.01295471191406,9.159668922424316,0.8099039196968079,0.41020023822784424,38.823116302490234,152.8798065185547,9.203751564025879,0.8331730961799622,0.35849234461784363,38.935096740722656
14,144.3130645751953,8.932336807250977,0.8166780471801758,0.4049958884716034,36.88786697387695,157.97116088867188,9.091680526733398,0.8509615659713745,0.3487079441547394,40.1875
15,140.0764617919922,8.799036026000977,0.8223494291305542,0.3926584720611572,35.80413055419922,127.45673370361328,8.677533149719238,0.8500000238418579,0.33856672048568726,32.54086685180664
16,135.6749267578125,8.629900932312012,0.8264979124069214,0.38565921783447266,34.69003677368164,127.1875,8.796546936035156,0.8567307591438293,0.32427507638931274,32.44230651855469
17,132.5207061767578,8.525151252746582,0.8280208110809326,0.3783668279647827,33.88767623901367,109.60095977783203,7.655328750610352,0.8586538434028625,0.31300705671310425,28.024038314819336
18,124.80757904052734,8.298117637634277,0.8325368762016296,0.3702998459339142,31.9417724609375,124.74519348144531,7.999549388885498,0.862500011920929,0.3155611455440521,31.818510055541992
19,122.93611907958984,8.242154121398926,0.8305414319038391,0.37158703804016113,31.477312088012695,106.01441955566406,7.498507499694824,0.8634615540504456,0.3084810674190521,27.122596740722656
20,119.54601287841797,8.10892391204834,0.8346374034881592,0.3678833842277527,30.621366500854492,102.03845977783203,7.315258026123047,0.8600961565971375,0.3044058084487915,26.116586685180664
21,118.2012710571289,8.032143592834473,0.8366854190826416,0.3589111566543579,30.26828384399414,98.84615325927734,7.286209583282471,0.8663461804389954,0.2940298318862915,25.299278259277344
22,114.33568572998047,7.925318717956543,0.8367904424667358,0.3596447706222534,29.302614212036133,105.09134674072266,7.377395153045654,0.8596153855323792,0.30137282609939575,26.875
23,109.99885559082031,7.747537612915039,0.8455600738525391,0.34890931844711304,28.197391510009766,115.66826629638672,7.684010982513428,0.8706730604171753,0.3013446629047394,29.521635055541992
24,110.8679428100586,7.794652462005615,0.8424093127250671,0.35123106837272644,28.419042587280273,95.22595977783203,7.2661919593811035,0.870192289352417,0.29400163888931274,24.393028259277344
25,108.37737274169922,7.720668315887451,0.8442472219467163,0.34489163756370544,27.78382110595703,90.21154022216797,6.93610954284668,0.8677884340286255,0.2900390625,23.132211685180664
26,105.33349609375,7.592930316925049,0.8429869413375854,0.34712883830070496,27.02707290649414,91.36058044433594,7.071638584136963,0.8740384578704834,0.28159743547439575,23.403846740722656
27,103.54776763916016,7.498514175415039,0.8477655649185181,0.3418308198451996,26.56932830810547,84.17066955566406,6.713546276092529,0.879807710647583,0.27708083391189575,21.597354888916016
28,100.24374389648438,7.40066385269165,0.8510213494300842,0.33663979172706604,25.734325408935547,86.70913696289062,6.728081703186035,0.8788461685180664,0.2772686183452606,22.232572555541992
29,98.01323699951172,7.341507434844971,0.8501286506652832,0.33366209268569946,25.170425415039062,84.80288696289062,6.598354339599609,0.8841345906257629,0.27090218663215637,21.741586685180664
30,96.30953979492188,7.250523567199707,0.853226900100708,0.3307307958602905,24.73912239074707,118.125,7.60540246963501,0.8826923370361328,0.27708083391189575,30.085336685180664
31,95.9530029296875,7.24669075012207,0.8498660922050476,0.3320463001728058,24.65288734436035,95.16826629638672,7.227002143859863,0.8745192289352417,0.28402945399284363,24.360576629638672
